ID,Tweet,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
2017-En-21441,鈥淲orry is a down payment on a problem you may never have'. 聽Joyce Meyer.  #motivation #leadership #worry,0,1,0,0,0,0,0,1
2017-En-31535,Whatever you decide to do make sure it makes you #happy.,0,0,0,0,1,0,0,0
2017-En-21068,"@Max_Kellerman  it also helps that the majority of NFL coaching is inept. Some of Bill O'Brien's play calling was wow, ! #GOPATS",1,0,1,0,1,0,0,0
2017-En-31436,Accept the challenges so that you can literally even feel the exhilaration of victory.' -- George S. Patton 馃惗,0,0,0,0,1,0,0,0
2017-En-22195,My roommate: it's okay that we can't spell because we have autocorrect. #terrible #firstworldprobs,1,0,1,0,0,0,0,0
2017-En-22190,No but that's so cute. Atsu was probably shy about photos before but cherry helped her out uwu,0,0,0,0,1,0,0,0
2017-En-20221,Do you think humans have the sense for recognizing impending doom? ,0,1,0,0,0,0,0,0
2017-En-22180,"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight",1,0,1,0,0,0,0,0
2017-En-41344,it's pretty depressing when u hit pan on ur favourite highlighter,0,0,1,0,0,1,0,0
2017-En-20759,@BossUpJaee but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant .,1,0,1,0,0,0,0,0
2017-En-40158,Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college,0,0,1,0,0,1,0,0
2017-En-21744,And it's hard to dance with a devil on your back\nSo shake him off.,0,0,0,0,0,0,0,0
2017-En-31337,Tiller and breezy should do a collab album. Rapping and singing prolly be fire,0,0,0,0,1,0,0,0
2017-En-10902,S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait馃檭,1,0,0,0,0,1,0,0
2017-En-11274,@bt_uk broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin,1,0,1,0,0,0,0,0
2017-En-11097,People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #angry #stop,1,0,1,0,0,1,0,0
2017-En-11475,@BitchestheCat Look at those teef! #growl,1,0,1,1,0,0,0,0
2017-En-10989,Star trek online has a update to download oh fuming yay,1,0,1,0,1,1,0,0
